artist,album,song title,url,lyrics,number of words,most common non-stop word
Adele,21 [2011],I Found a Boy [*],https://www.lyrics.com/lyric/28912361/Adele/I+Found+a+Boy+%5B%2A%5D,"I thought I told you, he'd be home soon
Couldn't help myself, you're too good to be true.
I fall short each time,
Every time he ain't here
You and your charm creep closer
Closer and near
Like a fool for fire, I fall, with my pride and all.
Like a bomb before explosion,
Ticking by your call,
You're the wiser one, disguised from greed,
And I'm just a child who belongs on her knees.

But I found a boy who I love more,
Than I ever did you before,
So stand beside the river I cried,
And lay yourself down.
Look how you want me now that I don't need you.

So, you thought that I'd crumble to my knees
At the first sight of you crawling back to me
To whisper ""will you leave your man? ""
Cause you swear that this time you can stand by me.
I won't stand by you.

Cause I found a boy who I love more,
Than I ever did you before,
So stand beside the river I cried
And lay yourself down.
Look how you want me now that I don't need you!

I ain't yours for no taking,
You must be mistaken
I could never look into your eyes, and settle for wrong
And ignore the right

When I found a boy who loves me more,
Than you ever did me before.
So stand beside the river you cried
And lay yourself down!
Look how you want me now that I don't need you!
",254,"('stand', 5)"
Adele,21 [2011],Turning Tables,https://www.lyrics.com/lyric/22724190/Adele/Turning+Tables,"Close enough to start a war
All that I have is on the floor
God only knows what we're fighting for
All that I say, you always say more

I can't keep up with your turning tables
Under your thumb, I can't breathe

So I won't let you close enough to hurt me
No, I won't ask you, you to just desert me
I can't give you, what you think you gave me
It's time to say goodbye to turning tables
To turning tables

Under haunted skies I see you
Where love is lost, your ghost is found
I braved a hundred storms to leave you
As hard as you try, no I will never be knocked down

I can't keep up with your turning tables
Under your thumb, I can't breathe

So I won't let you close enough to hurt me, no
I won't ask you, you to just desert me
I can't give you, what you think you gave me
It's time to say goodbye to turning tables
Turning tables

Next time I'll be braver
I'll be my own savior
When the thunder calls for me
Next time I'll be braver
I'll be my own savior
Standing on my own two feet

I won't let you close enough to hurt me, no
I won't ask you, you to just desert me
I can't give you, what you think you gave me
It's time to say goodbye to turning tables
To turning tables
Turning tables, yeah
Turning oh
",249,"('tables', 9)"
Adele,21 [Australian Bonus Track Edition] [2011],If It Hadn't Been for Love [*],https://www.lyrics.com/lyric/22886506/Adele/If+It+Hadn%27t+Been+for+Love+%5B%2A%5D,"Never woulda hitch-hiked to Birmingham
If it hadn't been for love
Never woulda caught the train to Louisian'
If it hadn't been for love
Never woulda run through the blindin' rain
Without one dollar to my name
If it hadn't been, if it hadn't been for love

Never woulda seen the trouble that I'm in
If it hadn't been for love
Woulda been gone like a wayward wind
If it hadn't been for love
Nobody knows it better than me
I wouldn't be wishing I was free
If it hadn't been, if it hadn't been for love

Four cold walls against my will
At least I know he's lying still
Four cold walls without parole
Lord have mercy on my soul

Never woulda gone to that side of town
If it hadn't been for love
Never woulda took a mind to track him down
If it hadn't been for love
Never woulda loaded up a forty-four
And put myself behind a jailhouse door
If it hadn't been, if it hadn't been for love

Four cold walls against my will
At least I know he's lying still
Four cold walls without parole
Lord have mercy on my soul

Never woulda hitch hiked to Birmingham
If it hadn't been for love
Never woulda caught the train to Louisian'
If it hadn't been for love
Never woulda loaded up a forty four
And put myself behind a jailhouse door
If it hadn't been, if it hadn't been for love
If it hadn't been, if it hadn't been for love
If it hadn't been, if it hadn't been for love
",266,"('love', 14)"
Adele,21 [Demo Bonus Tracks] [2011],Turning Tables [Live Acoustic] [Bonus Track] [Live][*],https://www.lyrics.com/lyric/23678636/Adele/Turning+Tables+%5BLive+Acoustic%5D+%5BBonus+Track%5D+%5BLive%5D%5B%2A%5D,"Close enough to start a war
All that I have is on the floor
God only knows what we're fighting for
All that I say, you always say more

I can't keep up with your turning tables
Under your thumb, I can't breathe

So I won't let you close enough to hurt me
No, I won't ask you, you to just desert me
I can't give you, what you think you gave me
It's time to say goodbye to turning tables
To turning tables

Under haunted skies I see you
Where love is lost, your ghost is found
I braved a hundred storms to leave you
As hard as you try, no I will never be knocked down

I can't keep up with your turning tables
Under your thumb, I can't breathe

So I won't let you close enough to hurt me, no
I won't ask you, you to just desert me
I can't give you, what you think you gave me
It's time to say goodbye to turning tables
Turning tables

Next time I'll be braver
I'll be my own savior
When the thunder calls for me
Next time I'll be braver
I'll be my own savior
Standing on my own two feet

I won't let you close enough to hurt me, no
I won't ask you, you to just desert me
I can't give you, what you think you gave me
It's time to say goodbye to turning tables
To turning tables
Turning tables, yeah
Turning oh
",249,"('tables', 9)"
Adele,Ibiza Annual 2011 [2011],Set Fire to the Rain [Thomas Gold Mix],https://www.lyrics.com/lyric/24242388/Adele/Set+Fire+to+the+Rain+%5BThomas+Gold+Mix%5D,"I let it fall, my heart,
And as it fell you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me

My hands, they're strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming Out your name,
Your name

When I lay with you
I could stay there
Close my eyes
Feel you here forever
You and me together nothing gets better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name,
Your name

I set fire to the rain
And I threw us into the flames
Well, it felt something died
'Cause I knew that that was
The last time, the last time

Sometimes I wake up by the door,
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming Out your name,
Your name

I set fire to the rain,
And I threw us into the flames
Well, it felt something died
'Cause I knew that, that was the last time
The last time

Let it burn
Let it burn
Let it burn
",334,"('never', 8)"
Adele,Live at the Royal Albert Hall [2011],If It Hadn't Been for Love,https://www.lyrics.com/lyric/24967094/Adele/If+It+Hadn%27t+Been+for+Love,"I never woulda hitch-hiked to Birmingham
If it hadn't been for love
I never woulda caught the train to Louisiana
If it hadn't been for love
I never woulda run through the blindin' rain
Without one dollar to my name
If it hadn't been, if it hadn't been for love

I never woulda seen the trouble that I'm in
If it hadn't been for love
Woulda been gone like a wayward wind
If it hadn't been for love
Nobody knows it better than me
I wouldn't be wishing I was free
If it hadn't been, if it hadn't been for love

Four cold walls against my will
At least I know he's lying still
Four cold walls without parole
Lord have mercy on my soul

Four cold walls against my will
At least I know he's lying still
Four cold walls without parole
Lord have mercy on my soul

I never woulda hitch-hiked to Birmingham
If it hadn't been for love
I never woulda caught the train to Louisiana
If it hadn't been for love
I never woulda loaded up a forty-four
Put myself behind a jailhouse door
If it hadn't been, if it hadn't been for love
If it hadn't been, if it hadn't been for love, yes
If it hadn't been, if it hadn't been for love, yes
",220,"('love', 11)"
Adele,Live at the Royal Albert Hall [DVD+CD] [2011],Set Fire to the Rain [Live at the Royal Albert Hall] [Dolby Digital 5.1,https://www.lyrics.com/lyric/25117146/Adele/Set+Fire+to+the+Rain+%5BLive+at+the+Royal+Albert+Hall%5D+%5BDolby+Digital+5.1,"I let it fall, my heart
And as it fell you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me

My hands, they're strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name!

When I lay with you
I could stay there
Close my eyes
Feel you here forever
You and me together
Nothing is better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where it felt something die
'Cause I knew that that was the last time, the last time

Sometimes I wake up by the door
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where it felt something die
'Cause I knew that that was the last time, the last time, oh, oh

Oh no
Let it burn
Oh oh oh
Let it burn
Oh oh oh
Let it burn
Oh oh oh
",347,"('never', 8)"
Adele,Ministry of Sound: Addicted to Bass 2011 [2011],Rolling in the Deep [Villa Remix],https://www.lyrics.com/lyric/23337033/Adele/Rolling+in+the+Deep+%5BVilla+Remix%5D,"There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally I can see you crystal clear
Go 'head and sell me out and I'll lay your ship bare
See how I leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and its bringing me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

Baby I have no story to be told
But I've heard one on you and I'm gonna make your head burn
Think of me in the depths of your despair
Making a home down there 'cause mine sure won't be shared

The scars of your love remind me of us (you're gonna wish you never had met me)
They keep me thinking that we almost had it all (tears are gonna fall, rolling in the deep)
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all
Rolling in the deep
You had my heart inside your hand
But you played it with a beating

Throw your soul through every open door
Count your blessings to find what you look for
Turned my sorrow into treasured gold
You pay me back in kind and reap just what you sow

(You're gonna wish you never had met me) We could've had it all
We could've had it all (tears are gonna fall, rolling in the deep)
It all, it all, it all, (you're gonna wish you never had met me)
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside your hand (You're gonna wish you never had met me)
But you played it, you played it, you played it, you played it
To the beat
",517,"('gonna', 21)"
Adele,Rolling In the Deep (Jamie XX Shuffle) [2011],Rolling In the Deep [Jamie xx Shuffle],https://www.lyrics.com/lyric/23031619/Adele/Rolling+In+the+Deep+%5BJamie+xx+Shuffle%5D,"There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally I can see you crystal clear
Go 'head and sell me out and I'll lay your ship bare
See how I leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and its bringing me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

Baby I have no story to be told
But I've heard one on you and I'm gonna make your head burn
Think of me in the depths of your despair
Making a home down there 'cause mine sure won't be shared

The scars of your love remind me of us (you're gonna wish you never had met me)
They keep me thinking that we almost had it all (tears are gonna fall, rolling in the deep)
The scars of your love they leave me breathless, I can't help feeling
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all
Rolling in the deep
You had my heart inside your hand
But you played it with a beating

Throw your soul through every open door
Count your blessings to find what you look for
Turned my sorrow into treasured gold
You pay me back in kind and reap just what you sow

(You're gonna wish you never had met me) We could've had it all
We could've had it all (tears are gonna fall, rolling in the deep)
It all, it all, it all, (you're gonna wish you never had met me)
We could have had it all (you're gonna wish you never had met me)
Rolling in the deep (tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (you're gonna wish you never had met me)
And you played it to the beat (tears are gonna fall, rolling in the deep)

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside your hand (You're gonna wish you never had met me)
But you played it, you played it, you played it, you played it
To the beat
",517,"('gonna', 21)"
Adele,iTunes Festival: London 2011 [2011],Take It All [Live],https://www.lyrics.com/lyric/25019431/Adele/Take+It+All+%5BLive%5D,"Didn't I give it all?
Tried my best
Gave you everything I have, everything and no less
Didn't I do it right? To let you down
Maybe you got too used to having me 'round
Still how can you walk away for all my tears
It's gonna be an empty road but I'll be right here
But go on and take it, take it all to you
Don't look back at this crumbling fool
Just take it all with my love, take it all with my love

Maybe I should leave to help you see
Nothing is better than this and this is everything we need
So is it over? Is this really, you're giving up so easily
I thought you loved me more than this

But go on, go on, take it, take it all you
Don't look back at this crumbling fool
Just take it all with my love, take it all with my love

I will change if I must
Slow it down and bring it home I will adjust
If only, if only you knew 
Everything I do, is for you

But go on and take it, take it all to you
Don't look back at this crumbling fool
Go on, go on and take it, take it all to you
Don't look back at this crumbling fool
Just take it take it all to you
Don't look back at this crumbling fool
Just take it, all with my love, take it all with my love
Take it all with my love
",256,"('take', 16)"
Adele,Skyfall [2012],Skyfall,https://www.lyrics.com/lyric/28166568/Adele/Skyfall,"This is the end
Hold your breath and count to ten
Feel the earth move and then
Hear my heart burst again

For this is the end
I’ve drowned and dreamt this moment
So overdue I owe them
Swept away, I’m stolen

Let the sky fall
When it crumbles
We will stand tall
Face it all together

Let the sky fall
When it crumbles
We will stand tall
Face it all together
At skyfall
At skyfall

Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number, you can take my name
But you’ll never have my heart

Let the sky fall
When it crumbles
We will stand tall
Face it all together

Let the sky fall
When it crumbles
We will stand tall
Face it all together
At skyfall

Where you go I go
What you see I see
I know I’d never be me
Without the security
Of your loving arms
Keeping me from harm
Put your hand in my hand
And we’ll stand

Let the sky fall
When it crumbles
We will stand tall
Face it all together

Let the sky fall
When it crumbles
We will stand tall
Face it all together
At skyfall

Let the sky fall
We will stand tall
At skyfall
",220,"('stand', 8)"
Adele,2013 Grammy Nominees [2013],Set Fire to the Rain [Live at the Royal Albert Hall] [Live],https://www.lyrics.com/lyric/28669852/Adele/Set+Fire+to+the+Rain+%5BLive+at+the+Royal+Albert+Hall%5D+%5BLive%5D,"I let it fall, my heart
And as it fell you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me

My hands, they're strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name!

When I lay with you
I could stay there
Close my eyes
Feel you here forever
You and me together
Nothing is better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where it felt something die
'Cause I knew that that was the last time, the last time

Sometimes I wake up by the door
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where it felt something die
'Cause I knew that that was the last time, the last time, oh, oh

Oh no
Let it burn
Oh oh oh
Let it burn
Oh oh oh
Let it burn
Oh oh oh
",347,"('never', 8)"
Adele,25 [LP] [2015],When We Were Young,https://www.lyrics.com/lyric/32298022/Adele/When+We+Were+Young,"Everybody loves the things you do
From the way you talk
To the way you move
Everybody here is watching you
'Cause you feel like home
You're like a dream come true
But if by chance you're here alone
Can I have a moment
Before I go?
'Cause I've been by myself all night long
Hoping you're someone I used to know

You look like a movie
You sound like a song
My God, this reminds me
Of when we were young

Let me photograph you in this light
In case it is the last time
That we might be exactly like we were
Before we realized
We were sad of getting old
It made us restless
It was just like a movie
It was just like a song

I was so scared to face my fears
Nobody told me that you'd be here
And I swear you moved overseas
That's what you said, when you left me

You still look like a movie
You still sound like a song
My God, this reminds me
Of when we were young

Let me photograph you in this light
In case it is the last time
That we might be exactly like we were
Before we realized
We were sad of getting old
It made us restless
It was just like a movie
It was just like a song

When we were young
When we were young
When we were young
When we were young

It's hard to admit that
Everything just takes me back
To when you were there
To when you were there
And a part of me keeps holding on
Just in case it hasn't gone
I guess I still care
Do you still care?

It was just like a movie
It was just like a song
My God, this reminds me
Of when we were young

When we were young
When we were young
When we were young
When we were young

Let me photograph you in this light
In case it is the last time
That we might be exactly like we were
Before we realized
We were sad of getting old
It made us restless
Oh, I'm so mad I'm getting old
It makes me reckless
It was just like a movie
It was just like a song
When we were young
",386,"('like', 17)"
Adele,Cover Stories: Brandi Carlile Celebrates 10 Years of the Story (An Album to Benefit War [2017],Hiding My Heart,https://www.lyrics.com/lyric/33851146/Adele/Hiding+My+Heart,"This is how the story went
I met someone by accident
It blew me away
Blew me away

It was in the darkest of my days
When you took my sorrow and you took my pain
And buried them away, you buried them away

I wish I could lay down beside you
When the day is done
And wake up to your face against the morning sun
But like everything I've ever known
You disappear one day
So I spend my whole life hiding my heart away

Dropped you off at the train station
Put a kiss on top of your head
Watch you wave
And watched you wave

Then I went on home to my skyscrapers
And neon lights and waiting papers
That I call home
I call that home

I wish I could lay down beside you
When the day is done
And wake up to your face against the morning sun
But like everything I've ever known
You disappear one day
So I spend my whole life hiding my heart away, away

Woke up feeling heavy-hearted
I'm going back to where I started
The morning rain, the morning rain
And though I wish that you were here
On that same old road that brought me here
It's calling me home, It's calling me home

I wish I could lay down beside you
When the day is done
And wake up to your face against the morning sun
But like everything I've ever known
You disappear one day
So I spend my whole life hiding my heart away
I can't spend my whole life hiding my heart away
",270,"('away', 9)"
